Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,Z_mm_smoothed,B_px,X_mm,X_mm_smoothed,Y_mm,Y_mm_smoothed
13,7,329,425,335,447,75.01836742760908,220.4948979001555,74.99273460099435,243.29817097545143,0.8216,2,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.4677,0.0492,2.9753,3.0138,231.336,1.502,1.4794,-5.6075,-5.5746
13,11,389,206,399,205,357.06432655357884,117.15374513859982,356.845157135208,127.1927670899568,0.7039,2,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.569,0.0411,2.4758,2.4119,121.967,3.0563,3.0534,0.1628,0.1848
14,7,329,424,334,446,74.95089799423022,219.52904135899652,75.16006083808709,242.0743687382041,0.6723,2,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.4315,0.0488,2.9551,3.0157,230.2511,1.4895,1.4844,-5.5826,-5.5696
14,11,389,205,399,204,356.5761287550693,117.2092146548214,356.3955794608243,127.251719045363,0.7689,2,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.5684,0.0411,2.4755,2.3794,122.0242,3.0563,3.0467,0.1879,0.2004
15,7,328,422,334,444,75.06858282186245,217.33844574764032,75.03784474567345,240.14162487998618,0.8097,2,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5432,0.0498,3.0172,3.0030,228.1717,1.4769,1.4744,-5.532,-5.5471
15,11,388,203,398,202,355.56352551434264,116.3486140871476,355.46222749209335,126.39620247459969,0.7892,2,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.6031,0.0414,2.4947,2.3890,121.1645,3.0312,3.0366,0.238,0.2230
16,7,327,421,333,443,75.25643716352927,216.1157097482735,75.20761248040664,238.91839611047115,0.8007,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5728,0.0501,3.0337,3.1247,226.9457,1.4518,1.4566,-5.5068,-5.5309
16,4,379,306,387,313,41.299456944821664,142.42541907960108,41.291571842869544,153.05554547287727,0.7316,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0008,0.036,2.16,2.2802,147.5493,2.7818,2.7839,-2.4435,-2.4256
16,11,388,202,397,201,355.072890052351,116.43023662262307,354.97092641821456,125.4830665866913,0.8923,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.1616,0.0374,2.2494,2.4497,120.7873,3.0196,3.0238,0.2631,0.2480
17,7,327,421,333,443,75.25643716352927,216.1157097482735,75.20761248040664,238.91839611047115,0.7924,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5728,0.0501,3.0337,3.2544,226.9457,1.4518,1.4362,-5.5068,-5.5147
