Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm,B_mm
40,3,483,172,500,169,348.23171106797935,220.63771209836273,348.35942778608825,237.89283301520456,0.7792,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8181,0.0376,2.9580,228.9406,5.6243,1.1717,5.7451
41,2,182,397,174,412,115.27772223555296,199.06029237394384,115.4975514933378,216.04166264866598,0.6732,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8894,0.0409,3.2177,207.2036,-2.2203,-4.7017,5.1996
41,4,40,328,21,337,153.94197788383678,252.68557536986555,153.99665415548856,273.70787347096905,0.8186,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8682,0.0399,3.1406,262.7769,-5.9239,-2.8967,6.5942
41,3,485,170,501,167,347.83346622453433,223.00896842952304,347.9386905429555,239.28226010300054,0.7776,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7653,0.0352,2.7654,230.8592,5.6631,1.2209,5.7932
42,2,184,392,178,406,115.37431728522067,193.68531178176625,115.21572129599058,208.90667772955464,0.7474,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.822,0.0378,2.9720,201.0082,-2.1616,-4.5575,5.0441
42,4,43,323,25,332,154.6758185980528,247.81444671366518,154.5826239426368,267.9346935355703,0.8602,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8481,0.039,3.0673,257.4821,-5.8404,-2.7637,6.4613
42,3,488,165,504,162,346.7594800848128,227.03523955544875,346.93477846315267,243.29817097545143,0.6934,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7517,0.0346,2.7160,234.8855,5.7376,1.3500,5.8942
43,2,191,381,184,394,114.86369657175187,180.75397644312005,115.1231278053967,195.49424543960367,0.6732,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8517,0.0392,3.0804,187.8354,-1.9819,-4.2767,4.7136
43,3,494,155,511,151,344.7235261807067,235.3146829248018,344.86416449625193,252.76866894455097,0.7361,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7774,0.0358,2.8097,243.7296,5.9001,1.6115,6.1162
44,2,196,372,190,386,114.61083521971831,170.48753620133056,114.4950205240369,185.71483516402236,0.8619,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9294,0.0427,3.3635,177.7757,-1.8578,-4.0559,4.4611
44,4,54,304,37,311,157.78240573048168,230.08259386576813,157.7703789087622,248.46730167166865,0.9399,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8352,0.0384,3.0203,238.9218,-5.5504,-2.2671,5.9955
