Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm,B_mm
17,5,195,51,183,28,244.44003482817618,178.46568297574746,244.1871477870165,204.39422692434343,0.7282,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4723,0.0677,4.1136,190.5520,-2.0631,4.3138,4.7817
18,2,574,237,617,241,4.732238142479698,303.03300150313663,4.804871556130439,346.2166951491508,0.7675,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.446,0.0665,4.0405,323.1887,8.0825,-0.6691,8.1101
18,3,441,115,465,100,330.14570614443016,194.85892332659543,329.8729401832214,223.14345161801185,0.7017,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4711,0.0677,4.1102,208.0442,4.5279,2.5988,5.2207
18,4,443,86,468,67,323.6156481841641,212.40762698170704,323.50611519722275,243.80525014855607,0.7773,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4962,0.0688,4.1801,227.0260,4.5864,3.3795,5.6970
18,5,205,50,194,27,247.53097923046545,175.30829986055994,247.1386600163063,200.7710138441304,0.6404,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4719,0.0677,4.1126,187.1777,-1.7951,4.3405,4.6971
19,2,579,237,624,241,4.655507428013618,308.01623333843946,4.709754305239072,353.1925820285585,0.8138,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4854,0.0683,4.1500,329.0611,8.2302,-0.6702,8.2575
19,3,446,115,471,101,330.8615893597452,199.21094347449892,330.8477049819269,227.86399452304877,0.8516,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4586,0.0671,4.0754,212.5763,4.6593,2.5974,5.3344
19,4,449,86,475,67,324.55428967240175,217.26711670199887,324.4623222080256,249.46743274423616,0.7941,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4999,0.069,4.1903,232.2565,4.7481,3.3800,5.8283
19,5,211,50,201,27,249.36647574784178,173.1040149736568,249.0040076481176,198.15650380444242,0.658,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.467,0.0675,4.0989,184.7850,-1.6340,4.3396,4.6370
20,2,584,237,629,241,4.581220085277059,313.0,4.644081925561028,358.1759344232943,0.8121,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4633,0.0673,4.0886,334.0676,8.3563,-0.6696,8.3831
