Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
40,3,38,330,19,340,153.23940084665117,262.0686932847951,153.1638351704382,283.5365937581955,0.9061,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.087,272.3803,-6.101,3.0818
40,1,483,172,500,169,349.2656222065085,214.75800334329801,349.31966613439005,232.01939574095957,0.8442,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0323,223.0552,5.4999,-1.0399
41,2,182,397,174,411,115.94229548987168,205.73040611440985,116.21850834938742,221.82200071228283,0.5915,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9555,213.4734,-2.3555,4.8113
41,3,39,328,21,337,153.53339508259424,260.2786967848118,153.52632957401,280.40328100790833,0.8741,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9235,269.9665,-6.0644,3.0197
41,1,485,170,501,166,348.8453402610717,217.1013588165675,348.6419602497002,233.57439928211312,0.6721,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.872,225.0368,5.5384,-1.1027
42,2,184,392,178,406,116.05349531049094,200.3596765818911,115.85186254206042,215.5736533067063,0.6934,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.874,207.6884,-2.2805,4.6863
42,3,42,323,24,332,154.23763927488682,255.38402455909414,154.17900802581073,275.506805723561,0.8389,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.976,265.0641,-5.9889,2.8942
42,1,488,166,504,162,347.97772331381645,220.8438362282271,347.83779648031816,237.32677893571133,0.7491,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8277,228.7888,5.6138,-1.203
43,2,191,381,185,394,115.60793148921834,187.40864441108366,115.54882463540712,201.72506041639943,0.8435,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8904,194.3035,-2.1051,4.3981
43,1,494,155,511,151,345.5999786932089,229.20078533896867,345.68206863687203,246.661711661944,0.7913,2,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8829,237.6109,5.7764,-1.4786
44,2,196,372,190,386,115.40771810894849,177.13271860387624,115.23283132320836,192.35384061671346,0.8433,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.2292,184.4298,-1.9791,4.1836
44,3,54,303,36,311,157.3428209709353,236.23081932719955,157.24236368054667,255.92381678929377,0.8014,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.1383,245.6833,-5.6872,2.3801
44,1,499,147,517,141,344.0212732247026,236.1228493814184,343.83862749327955,255.08037948850554,0.7196,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0291,245.2358,5.9134,-1.7039
45,4,102,456,89,475,124.86574871260432,297.3819093354537,124.83087166550935,320.40287139786994,0.9484,4,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9268,308.4635,-4.423,6.3525
45,2,199,366,193,378,115.36216694893118,170.42593699317015,115.44994567495195,183.8396040030548,0.7854,4,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9729,176.8788,-1.9044,4.0093
45,3,57,297,40,304,158.4286928087454,231.19256043393784,158.3691131634821,249.57563983690395,0.8451,4,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0016,240.0326,-5.6003,2.2176
45,1,502,140,521,134,342.61761111877206,241.00622398602076,342.60667785308794,260.93102536877444,0.8967,4,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.1138,250.5732,6.0006,-1.8791
46,2,201,357,195,369,116.08891992543616,161.44968256394932,116.12545024179668,174.8656627242753,0.7969,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.1289,167.8901,-1.854,3.7832
46,3,59,288,42,294,160.36321811262587,226.15260334561705,160.37774386134916,244.18026128252055,0.984,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0088,234.8209,-5.5502,1.9795
46,1,505,131,523,125,340.8305301428232,246.6779276708802,340.8829907839053,265.6501458685841,0.8037,3,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9089,255.8128,6.0644,-2.105
47,4,106,442,93,459,125.81945804237385,283.6476687723698,125.93070670010844,305.04098085339285,0.7891,4,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8558,293.9556,-4.323,5.977
47,2,203,351,197,362,116.39993411396694,155.18376203714098,116.56505117707799,167.70509831248424,0.8745,4,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0433,161.2016,-1.8041,3.6206
47,3,60,283,44,288,161.48401052459653,223.57325421436258,161.565051177078,240.33310217279683,0.644,4,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8394,231.6504,-5.5135,1.842
47,1,506,125,524,119,339.60512391795163,249.64975465639858,339.7435378254769,268.6131046691505,0.7952,4,47,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.875,258.7845,6.0897,-2.2554
