Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
17,1,82,407,62,427,134.23610153907,265.1886121235224,134.30972280213493,293.47061181658376,0.81,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
17,2,372,412,382,432,61.69924423399363,221.472345903501,61.85839876773828,243.82370680473218,0.7325,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
17,3,188,352,179,366,120.3355385115889,156.41611170208776,120.56626988955452,173.04623659588788,0.7459,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
17,4,149,206,126,201,185.32574062476772,118.51160280748886,186.4739559686723,141.90489773083945,0.3856,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
18,1,81,408,61,429,134.2401535743895,266.6027006614899,134.17762902000183,295.6010825419961,0.851,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
18,2,371,414,381,433,62.16958515751111,222.76669409945464,62.17590361574674,244.23758924457144,0.8457,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
18,3,187,353,178,367,120.46554491945989,157.78466338652817,120.68206863687206,174.4161689752415,0.7328,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
19,1,75,417,53,439,133.8308606720926,277.2435752186153,133.94881925045627,308.3504499753487,0.7952,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
19,2,364,423,374,444,64.78548323192804,227.69497139814047,64.76242093239473,250.95417908454922,0.8026,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
19,3,181,362,171,377,120.67232578233511,168.5852899869974,120.96375653207352,186.59046063504962,0.6659,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
20,1,72,421,51,443,133.70783311375007,282.207370562854,133.7039365019829,312.62117650600703,0.9084,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
20,2,361,426,371,448,65.78365455843999,229.16587878652442,65.76194226683806,253.33179824096302,0.8181,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
20,3,178,365,168,381,121.0206540104043,172.69916039170545,121.11763918672645,191.56461051039673,0.7923,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
20,4,151,221,135,221,178.02506598911802,116.06894502837527,178.26429541107163,132.06059215375342,0.6416,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
21,1,69,424,47,446,133.7269699799433,286.44894833111186,133.85168603401533,317.55471969410246,0.635,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
21,2,358,429,367,451,66.76879948445858,230.70543990118657,66.8605382367883,254.4720023892609,0.801,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
21,3,175,369,165,386,121.18497465873838,177.67385851610248,121.11309358620342,197.39554199626699,0.7779,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
22,1,65,427,43,450,133.88760038370222,291.3829095880539,133.87178256818805,323.21045775160184,0.83,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
22,2,354,433,363,455,68.06151953229354,232.86262044390037,68.03275659318712,256.632032295269,0.806,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
22,3,171,372,160,389,121.77220399744242,182.3211452355431,121.88545501166804,202.5660386145713,0.7708,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
23,1,59,432,36,455,134.05192942945942,299.1471209956733,134.1449026037333,331.6700167334997,0.6878,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
23,2,348,437,356,460,69.78721046111454,234.43762496664223,69.88448352676428,258.7856255668,0.7443,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
23,3,164,376,153,394,122.93511558947458,189.44656238633627,122.78428086586914,210.535032714273,0.7459,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
24,1,51,433,27,456,135.0,305.47012947258855,135.11961523230403,338.7048862948393,0.6714,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
24,2,340,438,347,460,71.72074584687576,232.74449510138794,71.7775191012451,255.8300216940928,0.8252,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
