Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
70,16,282,98,283,68,279.9506266879516,115.7410903698423,278.29714496983684,145.52319402761884,0.659,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
71,16,281,97,282,68,279.38151016074823,116.55899793666725,277.90716270295843,145.38225476308997,0.6785,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
72,16,280,95,281,68,278.74616226255523,118.37651794169315,277.51644171626947,145.24806367039804,0.712,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
73,16,280,94,281,68,278.6731740478798,119.36498649101419,277.51644171626947,145.24806367039804,0.7062,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
74,16,279,93,280,67,278.13010235415595,120.20815280171308,277.0763781776368,146.11296999240005,0.7072,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
75,16,278,92,280,68,277.59464336859145,121.06196760337245,277.1250163489018,145.12063946937388,0.8016,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
76,16,277,92,280,68,277.1250163489018,120.93386622447825,277.1250163489018,145.12063946937388,0.8798,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
77,16,277,91,280,67,277.0667297164011,121.92620719107111,277.0763781776368,146.11296999240005,0.8909,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
78,16,277,90,280,67,277.0093842566213,122.9186723000212,277.0763781776368,146.11296999240005,0.8779,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
79,16,279,89,279,67,277.8690755517905,124.16923934694937,276.68690932618233,145.9931505242626,0.6923,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
80,18,357,41,367,12,299.05460409907715,195.616972678753,297.699472808055,225.88713996153035,0.5744,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
80,16,281,88,279,67,278.7114375519504,125.44720004846661,276.68690932618233,145.9931505242626,0.5217,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
81,18,356,40,368,15,298.6571174565581,196.01020381602586,298.28340917873345,223.70739817896055,0.8497,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
82,18,354,38,369,16,297.86700384965684,196.82479518597245,298.6309370702088,223.3047245357787,0.7412,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
85,16,288,87,289,59,281.7499835717767,127.67536959022284,280.00797980144137,155.36408851468863,0.4098,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
86,16,289,86,289,59,282.0947570770121,128.86038956948718,280.00797980144137,155.36408851468863,0.3496,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
87,16,289,85,288,59,282.0022948987837,129.83836104942176,279.64440564010806,155.1934276958918,0.2977,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
87,19,560,242,575,242,5.7486634172877675,299.50626036862735,5.474883981898085,314.4344128749269,0.7433,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
95,20,344,25,357,1,293.67757944069274,204.1886382735337,294.2390351265791,231.40008643040736,0.507,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
95,16,286,89,287,60,281.04094018032373,125.31959144523253,279.3400261728053,154.042202009709,0.4366,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
96,20,345,24,355,0,293.8209483052073,205.50669088864237,293.68606411286663,231.50161986474308,0.6243,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
96,21,332,341,381,416,61.514163910233044,146.76852523616907,59.743562836470744,236.17154782064668,0.6968,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
97,21,331,352,378,413,63.76328780469274,156.08010763707205,60.01013556954867,232.071109791805,0.1341,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
104,16,286,98,286,61,281.888658039628,116.49892703368559,279.03107179644064,152.8953890737062,0.3398,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
105,22,286,79,286,61,280.22900828735953,135.14806694880988,279.03107179644064,152.8953890737062,0.5814,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
105,16,289,94,291,89,282.8881851257657,121.0495766204905,283.2664808465837,126.37246535539299,0.5995,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
106,23,289,96,317,11,283.1027899412625,119.10079764636339,285.30334746230096,208.38905921376966,0.7206,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
106,22,285,79,286,61,279.81125686799606,134.97407158413796,279.03107179644064,152.8953890737062,0.7148,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
