Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,Radius_A_px,Angle_B_deg,Radius_B_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
47,2,203,351,197,362,116.39993411396694,155.18376203714098,116.56505117707799,167.70509831248424,0.6942,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
47,3,61,282,43,288,161.64655294218235,222.3083444227859,161.64014389884363,241.2819926973416,0.5831,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
47,1,506,126,524,119,339.82054133548905,249.30302846134862,339.7435378254769,268.6131046691505,0.5986,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
48,4,111,430,98,447,126.44705824117354,271.0073799733136,126.51719210414106,292.4055403031892,0.36,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
48,2,205,340,199,350,117.6292466694657,144.4749113168096,117.8781915179955,156.11854470241516,0.6213,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
48,3,63,271,46,275,164.23580456870002,217.168137626126,164.423599919416,234.61670869739862,0.6234,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
48,1,509,114,527,106,337.53480234742017,256.46247288833507,337.4280145223018,276.1539425755135,0.5684,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
49,2,207,335,201,345,117.85444908113827,139.11865439257238,118.09484190136435,150.7647173578752,0.6216,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
49,3,64,266,48,270,165.44642720928746,214.89532335534898,165.48330004114536,231.38712150852302,0.6987,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
49,1,510,109,529,100,336.5983366877814,259.33183375744676,336.4525401989406,280.34443101299513,0.6233,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
50,4,113,423,101,439,127.00001652778104,264.20068130116545,126.9908597029628,284.20063335608523,0.6122,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
50,2,208,332,203,342,118.07248693585296,136.0,117.95798712921632,147.1767644704829,0.696,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
50,3,66,263,49,267,166.09471808574892,212.2192262732102,166.1452631461667,229.68238939892626,0.5816,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
50,1,512,106,530,98,336.17055052203517,262.36615635405417,336.1612598168283,282.0638225650358,0.6608,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
51,4,115,418,103,435,127.31232730388349,259.0077218926108,127.15657892504937,279.8035024798653,0.5714,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
51,2,210,328,205,338,118.12373538328882,131.52946437965906,118.00163481263644,142.70599146496969,0.6374,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
51,3,68,259,52,263,167.02589727076335,209.34421415458323,166.94833465788872,225.83400983908513,0.5442,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
51,1,514,103,533,94,335.7525687939653,265.41476974727686,335.6719278863597,286.4349838968697,0.6654,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
