Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
61,4,480,170,558,156,350.31764899835184,214.04905979704745,350.18440111724635,293.29336848964044,0.8776,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
62,4,476,157,554,139,346.68236602705065,212.72047386182646,346.7706859871759,292.76953393411685,0.8384,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
63,4,479,155,557,136,346.349580865243,216.10414156142403,346.3388462930945,296.3848849047468,0.9608,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
64,4,487,159,569,143,347.83346622453433,223.00896842952304,348.14022087905204,306.54363474063524,0.7716,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
65,4,487,157,569,139,347.3321251379374,223.4390297150433,347.4105404650423,307.3906309567681,0.9685,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
66,4,489,156,572,138,347.19573393471325,225.61028345356956,347.351117483375,310.53663229963706,0.908,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
67,4,490,155,573,138,347.0053832080835,226.80828909014767,347.3913932066338,311.5124395590006,0.7376,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
68,4,492,157,576,140,347.607286523054,228.31995094603536,347.86701175905796,314.0143308831621,0.7323,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
69,4,492,160,576,144,348.3446191222279,227.69497139814047,348.5824362571309,313.1980204279714,0.7572,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
70,4,492,161,572,145,348.5912817971182,227.49505489130968,348.6173571849192,309.0792778560219,0.8841,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
71,4,495,163,574,148,349.2273523517793,230.05434140654683,349.23296769753574,310.4657791126101,0.9021,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
72,4,495,164,573,151,349.47221388003646,229.8695282111137,349.7449182374632,308.9352683006587,0.7872,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
73,4,495,165,572,152,349.71746497072655,229.68892006363737,349.89496363496204,307.77426793024785,0.7617,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
74,4,497,166,572,153,350.0493733120484,231.4821807396846,350.0783414583143,307.6003901167877,0.9483,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
75,4,499,167,573,155,350.3761679181081,233.28308982864576,350.4765623170057,308.24827655641485,0.9229,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
76,4,499,167,572,156,350.3761679181081,233.28308982864576,350.6296944893839,307.0977043222564,0.7795,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
77,4,498,167,571,155,350.3349334877556,232.29722340140012,350.41465966750815,306.27601930285044,0.9639,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
78,4,497,167,570,156,350.2933475906603,231.3114783144148,350.5685483598455,305.1245647272602,0.7983,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
79,4,495,167,566,155,350.2091034469164,229.34035841953332,350.2563587129628,301.34697609234445,0.9349,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
80,4,494,167,563,156,350.1664360357929,228.35498680782078,350.34816653319575,298.2213942694253,0.8732,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
81,4,491,165,558,154,349.5362512220804,225.75429121059915,349.79986699280295,293.64093720052045,0.7919,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
82,4,492,166,557,156,349.83087166550933,226.55904307707516,350.15098548888295,292.30805667993485,0.8501,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
84,4,486,163,549,152,348.7916556810735,221.21934815924217,349.0841175683069,285.1596044323249,0.7602,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
85,4,489,166,552,156,349.695153531234,223.60679774997897,349.9804709587407,287.3830196793123,0.8664,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
86,4,490,167,545,154,349.99202019855863,224.4147945212169,349.33021719550334,280.8558349046713,0.5485,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
87,4,492,168,553,158,350.3294818350753,226.2144999773445,350.40686573726964,288.0277764383151,0.875,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
88,4,493,168,545,157,350.3718438715133,227.2003521124032,349.9328181329227,280.31589323475754,0.7333,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
89,4,491,166,550,157,349.7860270149295,225.57482128996577,350.10838027317783,285.2402496142506,0.7361,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
90,4,491,166,540,155,349.7860270149295,225.57482128996577,349.34205394350414,275.7571395267945,0.7562,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
91,4,489,165,546,156,349.4432552442818,223.78784596130328,349.7679793954322,281.47646438023907,0.7884,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
92,4,489,165,536,154,349.4432552442818,223.78784596130328,348.9792290627094,272.01654361453825,0.6541,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
93,4,490,165,536,155,349.4899566307314,224.770994570029,349.18612248637504,271.82715096178305,0.7219,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
94,4,489,165,543,157,349.4432552442818,223.78784596130328,349.86085423110103,278.3469058567025,0.6683,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
95,4,490,165,543,157,349.4899566307314,224.770994570029,349.86085423110103,278.3469058567025,0.7181,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
96,4,491,165,535,155,349.5362512220804,225.75429121059915,349.1464326572758,270.84497410880635,0.7701,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
98,4,492,167,543,159,350.07998703759796,226.38462845343543,350.26661758116353,278.0017985553331,0.8113,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
99,4,491,165,540,157,349.5362512220804,225.75429121059915,349.750979216244,275.3942628305826,0.7936,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
100,4,492,166,533,156,349.83087166550933,226.55904307707516,349.2755514625288,268.69313351851775,0.5856,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
101,4,492,165,533,157,349.58214425073334,226.73773395709856,349.4852099089958,268.50884529191956,0.8439,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
102,4,492,165,531,156,349.58214425073334,226.73773395709856,349.1956054024607,266.7283262047734,0.716,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
103,4,493,166,532,157,349.87532834460217,227.54340245324627,349.4461263017305,267.5256997000475,0.6054,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
104,4,493,166,533,157,349.87532834460217,227.54340245324627,349.4852099089958,268.50884529191956,0.6266,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
105,4,493,165,531,156,349.6276408607753,227.72132091659753,349.1956054024607,266.7283262047734,0.6275,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
106,4,493,166,530,157,349.87532834460217,227.54340245324627,349.3670910161208,265.55978611228016,0.5637,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
107,4,493,166,530,158,349.87532834460217,227.54340245324627,349.5792876032055,265.37709019431196,0.8006,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
108,4,488,164,526,155,349.14358665193777,222.9910312097776,348.7758395869269,262.01145013147806,0.7262,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
