Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
52,7,5.6209,-0.0738,533,221,1.799275724134077,191.09421759959145,1.9749340108819766,261.15512631384433,0.7817,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.9832,0.1549,8.9832,220.6979,5.6209,-0.0738
54,7,5.5998,0.1944,527,193,355.4139011038291,187.6006396577581,355.7387767555013,255.70686341981516,0.8528,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.9424,0.1536,8.9424,216.4221,5.5998,0.1944
55,7,5.6235,0.4403,525,190,355.23635830927384,192.66551326067673,355.0302592718897,253.95472037353431,0.7604,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.8851,0.1372,8.8851,219.1048,5.6235,0.4403
57,7,5.7236,0.6460,544,181,353.62928306810596,207.28000385951367,353.4980214890103,273.7608445340568,0.723,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.8947,0.1382,8.8947,235.9265,5.7236,0.6460
58,7,5.8743,0.7618,541,173,351.86989764584405,205.0609665440988,351.7506558210937,271.8124353299532,0.7591,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.7738,0.14,8.7738,233.7649,5.8743,0.7618
59,7,5.9733,0.8353,557,173,351.7927835880819,210.15232570685484,352.2079219217816,287.65604460883486,0.7203,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.8629,0.1557,8.8629,242.8709,5.9733,0.8353
60,7,6.0034,0.8922,559,165,351.0136891772164,217.671771252039,350.69962133900094,290.82297020696285,0.6754,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.9912,0.1439,8.9912,248.9857,6.0034,0.8922
60,8,5.9479,1.2730,550,163,350.44836254161817,210.92415698539605,350.0037780025211,282.2853166567471,0.7019,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.9435,0.1447,8.9435,241.4422,5.9479,1.2730
61,8,5.9682,1.3552,551,155,348.6373575320982,213.17832910500073,348.45330945407267,284.76305940202286,0.7011,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.1521,0.1438,9.1521,243.8251,5.9682,1.3552
62,8,6.0169,1.3985,547,138,345.17352002964435,211.02606474082768,344.9389839035214,284.7823730500187,0.7793,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.1241,0.1488,9.1241,242.4182,6.0169,1.3985
63,8,6.0906,1.5053,558,137,344.86205041686713,214.44113411377026,345.3057535392942,295.67042462850424,0.8386,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.2797,0.1592,9.2797,248.5884,6.0906,1.5053
65,8,6.1477,1.5860,562,138,345.96375653207355,222.64770378335368,345.68517308959514,299.2924990707251,0.7242,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.3399,0.1468,9.3399,255.3426,6.1477,1.5860
66,8,6.2440,1.5689,572,139,345.84014123409446,224.83104767802868,346.323819534524,308.7539473431878,0.7851,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.3213,0.1573,9.3213,260.1927,6.2440,1.5689
67,8,6.3026,1.5437,566,136,345.5933148435631,225.07776433935007,345.50613224172383,303.66428831853113,0.7478,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.0908,0.1486,9.0908,258.5309,6.3026,1.5437
69,8,6.3329,1.5125,569,142,347.0053832080835,226.80828909014767,346.73797669700156,305.1376738457577,0.7055,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.9793,0.1473,8.9793,260.206,6.3329,1.5125
