Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
28,2,320,432,330,471,77.69198418257209,225.1754871206011,77.37753356019073,265.41476974727686,0.4812,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.3693,243.6449,1.321,-5.9696
28,3,141,389,127,407,126.50562421019102,220.20445045457188,126.63411387596742,243.00205760445732,0.7341,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8461,231.0422,-3.4546,-4.6562
29,1,33,449,8,474,135.2407371527218,336.58579886857973,135.21785362509715,371.9408555133464,0.8834,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8986,353.3812,-6.2955,-6.2454
29,2,318,436,327,474,78.3952376436212,228.67444107289296,78.14440993256407,267.7106647109898,0.5123,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.1092,246.6576,1.2594,-6.0602
29,3,138,394,125,412,126.36286858492925,226.00884938426637,126.31588642394519,248.21160327430303,0.7685,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.6617,236.5905,-3.518,-4.7825
30,1,31,451,5,476,135.23873103309893,339.4142012350102,135.32370152492024,375.479693192588,0.8922,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9409,356.5372,-6.3577,-6.2951
30,2,316,437,320,454,78.93512924593442,229.26185901715095,78.78115771873118,246.71440979399642,0.4856,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8809,237.6682,1.1528,-5.8516
30,3,137,395,123,413,126.41637851988607,227.40712389896672,126.54930110639795,250.2039168358481,0.7234,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.7318,238.2615,-3.5552,-4.8071
31,1,29,454,3,479,135.11813546045448,342.94751785076386,135.2137892298771,379.0118731649445,0.7597,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9028,360.0789,-6.4081,-6.3705
31,2,318,458,322,477,79.40847225202863,250.26386075500395,79.31508759999728,269.675731203236,0.6909,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9323,259.6074,1.2028,-6.4026
31,3,134,398,119,418,126.57303097851934,231.60310878742538,126.60195363104148,256.6028059082753,0.8673,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9992,243.4629,-3.6416,-4.9055
31,5,146,386,126,413,125.90972307917767,214.83016547961788,125.99346052755867,248.42906432219237,0.7056,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,5.639,230.4112,-3.3948,-4.6804
32,1,28,454,3,479,135.23578376987663,343.6568055487917,135.2137892298771,379.0118731649445,0.9321,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8235,360.4695,-6.4212,-6.3712
